experiment_id,timestamp,seed,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,repetition,computational_time,convergence_iterations,converged,is_nash_equilibrium,data_source
exp_42_5_game_theory_8,2026-09-01T13:22:29.837021,49,5,game_theory,100.0,27.0,27.0,0.972,1.2797,8.94,3.07,8,0.001,3,True,True,SIMULATION
exp_42_5_game_theory_9,2026-09-01T13:22:29.838238,50,5,game_theory,100.0,31.5,31.5,0.996,1.7136,14.97,2.33,9,0.0012,4,True,True,SIMULATION
exp_42_5_game_theory_10,2026-09-01T13:22:29.840249,51,5,game_theory,100.0,31.5,31.5,0.9861,1.7197,11.41,3.51,10,0.002,4,True,True,SIMULATION
exp_42_10_equal_1,2026-09-01T13:22:29.840919,42,10,equal,100.0,83.16,83.16,0.9016,-1.1497,16.95,1.13,1,0.0006,,,,SIMULATION
exp_42_10_equal_2,2026-09-01T13:22:29.843672,43,10,equal,100.0,88.73,88.73,0.9512,-1.6432,8.54,4.48,2,0.0027,,,,SIMULATION
exp_42_10_equal_3,2026-09-01T13:22:29.843900,44,10,equal,100.0,80.28,80.28,0.8952,-1.1065,13.72,3.71,3,0.0002,,,,SIMULATION
exp_42_10_equal_4,2026-09-01T13:22:29.845052,45,10,equal,100.0,78.39,78.39,0.9246,-0.9623,11.81,3.44,4,0.0011,,,,SIMULATION
exp_42_10_equal_5,2026-09-01T13:22:29.845330,46,10,equal,100.0,81.37,81.37,0.9003,-1.3987,20.44,3.0,5,0.0002,,,,SIMULATION
exp_42_10_equal_6,2026-09-01T13:22:29.845570,47,10,equal,100.0,86.27,86.27,0.9528,-1.5499,12.93,3.15,6,0.0002,,,,SIMULATION
exp_42_10_equal_7,2026-09-01T13:22:29.845715,48,10,equal,100.0,88.4,88.4,0.9592,-1.4869,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_10_equal_8,2026-09-01T13:22:29.845831,49,10,equal,100.0,81.14,81.14,0.9377,-1.0957,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_10_equal_9,2026-09-01T13:22:29.845941,50,10,equal,100.0,91.08,91.08,0.9837,-1.8762,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_10_equal_10,2026-09-01T13:22:29.846063,51,10,equal,100.0,100.0,100.0,1.0,-2.5711,11.41,3.51,10,0.0001,,,,SIMULATION
exp_42_10_proportional_1,2026-09-01T13:22:29.846237,42,10,proportional,100.0,100.0,100.0,0.7951,-2.6027,16.95,1.13,1,0.0001,,,,SIMULATION
exp_42_10_proportional_2,2026-09-01T13:22:29.846355,43,10,proportional,100.0,100.0,100.0,0.8273,-2.6745,8.54,4.48,2,0.0001,,,,SIMULATION
exp_42_10_proportional_3,2026-09-01T13:22:29.846466,44,10,proportional,100.0,100.0,100.0,0.7675,-2.8527,13.72,3.71,3,0.0001,,,,SIMULATION
exp_42_10_proportional_4,2026-09-01T13:22:29.846593,45,10,proportional,100.0,94.6,94.6,0.8119,-2.3949,11.81,3.44,4,0.0001,,,,SIMULATION
exp_42_10_proportional_5,2026-09-01T13:22:29.846766,46,10,proportional,100.0,100.0,100.0,0.794,-3.0631,20.44,3.0,5,0.0001,,,,SIMULATION
exp_42_10_proportional_6,2026-09-01T13:22:29.846992,47,10,proportional,100.0,100.0,100.0,0.8333,-2.7743,12.93,3.15,6,0.0002,,,,SIMULATION
exp_42_10_proportional_7,2026-09-01T13:22:29.847134,48,10,proportional,100.0,100.0,100.0,0.8326,-2.5555,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_10_proportional_8,2026-09-01T13:22:29.847252,49,10,proportional,100.0,100.0,100.0,0.8206,-2.6843,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_10_proportional_9,2026-09-01T13:22:29.847402,50,10,proportional,100.0,100.0,100.0,0.8665,-2.7162,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_10_proportional_10,2026-09-01T13:22:29.847521,51,10,proportional,100.0,100.0,100.0,0.9501,-2.5593,11.41,3.51,10,0.0001,,,,SIMULATION
exp_42_10_priority_1,2026-09-01T13:22:29.847692,42,10,priority,100.0,100.0,100.0,0.9234,-2.5538,16.95,1.13,1,0.0001,,,,SIMULATION
exp_42_10_priority_2,2026-09-01T13:22:29.848042,43,10,priority,100.0,100.0,100.0,0.9052,-2.7125,8.54,4.48,2,0.0003,,,,SIMULATION
exp_42_10_priority_3,2026-09-01T13:22:29.848372,44,10,priority,100.0,100.0,100.0,0.9054,-2.815,13.72,3.71,3,0.0003,,,,SIMULATION
exp_42_10_priority_4,2026-09-01T13:22:29.848771,45,10,priority,100.0,100.0,100.0,0.9246,-2.8057,11.81,3.44,4,0.0003,,,,SIMULATION
exp_42_10_priority_5,2026-09-01T13:22:29.849091,46,10,priority,100.0,100.0,100.0,0.8868,-3.0843,20.44,3.0,5,0.0003,,,,SIMULATION
exp_42_10_priority_6,2026-09-01T13:22:29.849375,47,10,priority,100.0,100.0,100.0,0.9384,-2.7794,12.93,3.15,6,0.0002,,,,SIMULATION
exp_42_10_priority_7,2026-09-01T13:22:29.849646,48,10,priority,100.0,100.0,100.0,0.9474,-2.5288,15.67,1.66,7,0.0002,,,,SIMULATION
exp_42_10_priority_8,2026-09-01T13:22:29.849928,49,10,priority,100.0,100.0,100.0,0.9491,-2.6696,8.94,3.07,8,0.0002,,,,SIMULATION
exp_42_10_priority_9,2026-09-01T13:22:29.850202,50,10,priority,100.0,100.0,100.0,0.963,-2.7335,14.97,2.33,9,0.0002,,,,SIMULATION
exp_42_10_priority_10,2026-09-01T13:22:29.850484,51,10,priority,100.0,100.0,100.0,0.9723,-2.639,11.41,3.51,10,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_1,2026-09-01T13:22:29.850733,42,10,max_min_fairness,100.0,100.0,100.0,0.8673,-2.5751,16.95,1.13,1,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_2,2026-09-01T13:22:29.851114,43,10,max_min_fairness,100.0,100.0,100.0,0.9335,-2.6506,8.54,4.48,2,0.0004,,,,SIMULATION
exp_42_10_max_min_fairness_3,2026-09-01T13:22:29.851358,44,10,max_min_fairness,100.0,100.0,100.0,0.8408,-2.8331,13.72,3.71,3,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_4,2026-09-01T13:22:29.851571,45,10,max_min_fairness,100.0,94.6,94.6,0.8119,-2.3949,11.81,3.44,4,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_5,2026-09-01T13:22:29.851779,46,10,max_min_fairness,100.0,100.0,100.0,0.8247,-3.0696,20.44,3.0,5,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_6,2026-09-01T13:22:29.852118,47,10,max_min_fairness,100.0,100.0,100.0,0.9067,-2.7648,12.93,3.15,6,0.0003,,,,SIMULATION
exp_42_10_max_min_fairness_7,2026-09-01T13:22:29.852343,48,10,max_min_fairness,100.0,100.0,100.0,0.9374,-2.4986,15.67,1.66,7,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_8,2026-09-01T13:22:29.852662,49,10,max_min_fairness,100.0,100.0,100.0,0.8565,-2.6766,8.94,3.07,8,0.0003,,,,SIMULATION
exp_42_10_max_min_fairness_9,2026-09-01T13:22:29.852930,50,10,max_min_fairness,100.0,100.0,100.0,0.9594,-2.6924,14.97,2.33,9,0.0002,,,,SIMULATION
exp_42_10_max_min_fairness_10,2026-09-01T13:22:29.853138,51,10,max_min_fairness,100.0,100.0,100.0,1.0,-2.5711,11.41,3.51,10,0.0002,,,,SIMULATION
exp_42_10_alpha_fair_1,2026-09-01T13:22:29.853360,42,10,alpha_fair,100.0,100.0,100.0,0.7951,-2.6027,16.95,1.13,1,0.0002,,,,SIMULATION
exp_42_10_alpha_fair_2,2026-09-01T13:22:29.853564,43,10,alpha_fair,100.0,100.0,100.0,0.8273,-2.6745,8.54,4.48,2,0.0002,,,,SIMULATION
exp_42_10_alpha_fair_3,2026-09-01T13:22:29.853821,44,10,alpha_fair,100.0,100.0,100.0,0.7675,-2.8527,13.72,3.71,3,0.0002,,,,SIMULATION
exp_42_10_alpha_fair_4,2026-09-01T13:22:29.854059,45,10,alpha_fair,100.0,94.6,94.6,0.8119,-2.3949,11.81,3.44,4,0.0002,,,,SIMULATION
exp_42_10_alpha_fair_5,2026-09-01T13:22:29.854235,46,10,alpha_fair,100.0,100.0,100.0,0.794,-3.0631,20.44,3.0,5,0.0001,,,,SIMULATION
exp_42_10_alpha_fair_6,2026-09-01T13:22:29.854383,47,10,alpha_fair,100.0,100.0,100.0,0.8333,-2.7743,12.93,3.15,6,0.0001,,,,SIMULATION
exp_42_10_alpha_fair_7,2026-09-01T13:22:29.854503,48,10,alpha_fair,100.0,100.0,100.0,0.8326,-2.5555,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_10_alpha_fair_8,2026-09-01T13:22:29.854618,49,10,alpha_fair,100.0,100.0,100.0,0.8206,-2.6843,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_10_alpha_fair_9,2026-09-01T13:22:29.854730,50,10,alpha_fair,100.0,100.0,100.0,0.8665,-2.7162,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_10_alpha_fair_10,2026-09-01T13:22:29.854847,51,10,alpha_fair,100.0,100.0,100.0,0.9501,-2.5593,11.41,3.51,10,0.0001,,,,SIMULATION
exp_42_10_game_theory_1,2026-09-01T13:22:29.858773,42,10,game_theory,100.0,41.5,41.5,0.9528,1.1114,16.95,1.13,1,0.0039,4,True,True,SIMULATION
exp_42_10_game_theory_2,2026-09-01T13:22:29.862634,43,10,game_theory,100.0,42.5,42.5,0.9724,1.1163,8.54,4.48,2,0.0038,5,True,True,SIMULATION
exp_42_10_game_theory_3,2026-09-01T13:22:29.867001,44,10,game_theory,100.0,43.0,43.0,0.9556,1.2209,13.72,3.71,3,0.0043,5,True,True,SIMULATION
exp_42_10_game_theory_4,2026-09-01T13:22:29.870202,45,10,game_theory,100.0,44.0,44.0,0.9803,1.1996,11.81,3.44,4,0.0031,5,True,True,SIMULATION
exp_42_10_game_theory_5,2026-09-01T13:22:29.873085,46,10,game_theory,100.0,42.0,42.0,0.9383,1.1417,20.44,3.0,5,0.0028,4,True,True,SIMULATION
exp_42_10_game_theory_6,2026-09-01T13:22:29.879201,47,10,game_theory,100.0,41.5,41.5,0.9799,1.0841,12.93,3.15,6,0.006,4,True,True,SIMULATION
exp_42_10_game_theory_7,2026-09-01T13:22:29.882016,48,10,game_theory,100.0,42.5,42.5,0.975,1.1313,15.67,1.66,7,0.0027,3,True,True,SIMULATION
exp_42_10_game_theory_8,2026-09-01T13:22:29.885496,49,10,game_theory,100.0,40.5,40.5,0.9778,1.0366,8.94,3.07,8,0.0034,4,True,True,SIMULATION
exp_42_10_game_theory_9,2026-09-01T13:22:29.889182,50,10,game_theory,100.0,43.5,43.5,0.9817,1.195,14.97,2.33,9,0.0036,5,True,True,SIMULATION
exp_42_10_game_theory_10,2026-09-01T13:22:29.899586,51,10,game_theory,100.0,44.0,44.0,0.9878,1.2642,11.41,3.51,10,0.0103,4,True,True,SIMULATION
exp_42_20_equal_1,2026-09-01T13:22:29.900090,42,20,equal,100.0,95.95,95.95,0.9817,-0.3756,16.95,1.13,1,0.0004,,,,SIMULATION
exp_42_20_equal_2,2026-09-01T13:22:29.900382,43,20,equal,100.0,97.57,97.57,0.9934,-0.4479,8.54,4.48,2,0.0002,,,,SIMULATION
exp_42_20_equal_3,2026-09-01T13:22:29.900642,44,20,equal,100.0,95.37,95.37,0.9848,-0.3904,13.72,3.71,3,0.0002,,,,SIMULATION
exp_42_20_equal_4,2026-09-01T13:22:29.900980,45,20,equal,100.0,95.25,95.25,0.9772,-0.4047,11.81,3.44,4,0.0003,,,,SIMULATION
exp_42_20_equal_5,2026-09-01T13:22:29.901300,46,20,equal,100.0,97.24,97.24,0.9849,-0.5496,20.44,3.0,5,0.0003,,,,SIMULATION
exp_42_20_equal_6,2026-09-01T13:22:29.901597,47,20,equal,100.0,97.01,97.01,0.9908,-0.4811,12.93,3.15,6,0.0003,,,,SIMULATION
exp_42_20_equal_7,2026-09-01T13:22:29.901864,48,20,equal,100.0,100.0,100.0,1.0,-0.5199,15.67,1.66,7,0.0002,,,,SIMULATION
exp_42_20_equal_8,2026-09-01T13:22:29.902128,49,20,equal,100.0,99.34,99.34,0.9996,-0.5537,8.94,3.07,8,0.0002,,,,SIMULATION
exp_42_20_equal_9,2026-09-01T13:22:29.902406,50,20,equal,100.0,98.61,98.61,0.9962,-0.5431,14.97,2.33,9,0.0002,,,,SIMULATION
exp_42_20_equal_10,2026-09-01T13:22:29.902677,51,20,equal,100.0,100.0,100.0,1.0,-0.5663,11.41,3.51,10,0.0002,,,,SIMULATION
exp_42_20_proportional_1,2026-09-01T13:22:29.902990,42,20,proportional,100.0,100.0,100.0,0.8473,-0.5895,16.95,1.13,1,0.0003,,,,SIMULATION
exp_42_20_proportional_2,2026-09-01T13:22:29.903265,43,20,proportional,100.0,100.0,100.0,0.7922,-0.6259,8.54,4.48,2,0.0002,,,,SIMULATION
exp_42_20_proportional_3,2026-09-01T13:22:29.903533,44,20,proportional,100.0,100.0,100.0,0.764,-0.6785,13.72,3.71,3,0.0002,,,,SIMULATION
