number_of_users,strategy,n,total_allocated_mean,total_allocated_median,total_allocated_std_dev,total_allocated_min,total_allocated_max,total_allocated_ci_95_lower,total_allocated_ci_95_upper,utilization_percentage_mean,utilization_percentage_median,utilization_percentage_std_dev,utilization_percentage_min,utilization_percentage_max,utilization_percentage_ci_95_lower,utilization_percentage_ci_95_upper,jain_fairness_index_mean,jain_fairness_index_median,jain_fairness_index_std_dev,jain_fairness_index_min,jain_fairness_index_max,jain_fairness_index_ci_95_lower,jain_fairness_index_ci_95_upper,average_utility_mean,average_utility_median,average_utility_std_dev,average_utility_min,average_utility_max,average_utility_ci_95_lower,average_utility_ci_95_upper,computational_time_mean,computational_time_median,computational_time_std_dev,computational_time_min,computational_time_max,computational_time_ci_95_lower,computational_time_ci_95_upper,convergence_iterations_mean,convergence_iterations_median,convergence_iterations_std_dev,convergence_iterations_min,convergence_iterations_max,convergence_iterations_ci_95_lower,convergence_iterations_ci_95_upper
200,game_theory,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.309537,0.30865,0.011154,0.2857,0.3289,0.305372,0.313701,0.138607,0.1384,0.002609,0.134,0.1465,0.137633,0.139581,0.075313,0.07335,0.017684,0.0516,0.1493,0.06871,0.081917,7.3,7.0,0.466092,7.0,8.0,7.125959,7.474041
200,max_min_fairness,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.228313,0.22785,0.006094,0.2129,0.2397,0.226038,0.230589,0.00083,0.0008,0.000132,0.0008,0.0015,0.000781,0.000879,,,,,,,
200,priority,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.94312,0.94345,0.00308,0.9357,0.9509,0.94197,0.94427,0.23154,0.2316,0.006381,0.2151,0.2414,0.229157,0.233923,0.00105,0.0009,0.000283,0.0009,0.0017,0.000944,0.001156,,,,,,,
200,proportional,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.801347,0.7991,0.012842,0.7785,0.8309,0.796551,0.806142,0.21741,0.2173,0.006153,0.202,0.2292,0.215113,0.219707,0.001143,0.0013,0.000285,0.0007,0.0015,0.001037,0.00125,,,,,,,
373,alpha_fair,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.801067,0.8011,0.009937,0.7802,0.8208,0.797356,0.804777,0.144443,0.1447,0.003125,0.137,0.1507,0.143276,0.14561,0.001837,0.0016,0.000526,0.0013,0.0025,0.00164,0.002033,,,,,,,
373,equal,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.148133,0.1484,0.003357,0.14,0.1542,0.14688,0.149387,0.00152,0.0014,0.000316,0.0013,0.0024,0.001402,0.001638,,,,,,,
373,game_theory,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.16598,0.1655,0.005989,0.1532,0.1764,0.163744,0.168216,0.074317,0.0742,0.001391,0.0719,0.0785,0.073797,0.074836,0.206047,0.19685,0.053576,0.1452,0.3647,0.186041,0.226052,7.3,7.0,0.466092,7.0,8.0,7.125959,7.474041
373,max_min_fairness,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.148133,0.1484,0.003357,0.14,0.1542,0.14688,0.149387,0.001613,0.0015,0.00036,0.0014,0.0027,0.001479,0.001748,,,,,,,
373,priority,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.943567,0.94365,0.002125,0.9365,0.9473,0.942773,0.94436,0.151577,0.1519,0.00358,0.1428,0.1583,0.15024,0.152914,0.002107,0.0018,0.000553,0.0016,0.003,0.0019,0.002313,,,,,,,
373,proportional,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.801067,0.8011,0.009937,0.7802,0.8208,0.797356,0.804777,0.144443,0.1447,0.003125,0.137,0.1507,0.143276,0.14561,0.00166,0.0014,0.000442,0.0013,0.0026,0.001495,0.001825,,,,,,,
