experiment_id,timestamp,seed,parameter,parameter_value,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,computational_time,data_source
sensitivity_42_20_priority_w_throughput_0.5_46,2026-09-01T11:49:21.175753,46,w_throughput,0.5,20,priority,100.0,100.0,100.0,0.9266,-1.747327,20.44,3.0,0.000107,SIMULATION
sensitivity_42_20_max_min_fairness_w_throughput_0.5_42,2026-09-01T11:49:21.176107,42,w_throughput,0.5,20,max_min_fairness,100.0,100.0,100.0,0.9798,-1.619135,16.95,1.13,9.9e-05,SIMULATION
sensitivity_42_20_max_min_fairness_w_throughput_0.5_43,2026-09-01T11:49:21.176429,43,w_throughput,0.5,20,max_min_fairness,100.0,100.0,100.0,0.9924,-1.595294,8.54,4.48,0.000108,SIMULATION
sensitivity_42_20_max_min_fairness_w_throughput_0.5_44,2026-09-01T11:49:21.176754,44,w_throughput,0.5,20,max_min_fairness,100.0,100.0,100.0,0.9817,-1.657857,13.72,3.71,0.000112,SIMULATION
sensitivity_42_20_max_min_fairness_w_throughput_0.5_45,2026-09-01T11:49:21.177009,45,w_throughput,0.5,20,max_min_fairness,100.0,100.0,100.0,0.9748,-1.66442,11.81,3.44,6.3e-05,SIMULATION
sensitivity_42_20_max_min_fairness_w_throughput_0.5_46,2026-09-01T11:49:21.177194,46,w_throughput,0.5,20,max_min_fairness,100.0,100.0,100.0,0.9842,-1.705039,20.44,3.0,5.5e-05,SIMULATION
sensitivity_42_20_alpha_fair_w_throughput_0.5_42,2026-09-01T11:49:21.177370,42,w_throughput,0.5,20,alpha_fair,100.0,100.0,100.0,0.8473,-1.636008,16.95,1.13,5.4e-05,SIMULATION
sensitivity_42_20_alpha_fair_w_throughput_0.5_43,2026-09-01T11:49:21.177545,43,w_throughput,0.5,20,alpha_fair,100.0,100.0,100.0,0.7922,-1.634037,8.54,4.48,5.4e-05,SIMULATION
sensitivity_42_20_alpha_fair_w_throughput_0.5_44,2026-09-01T11:49:21.177728,44,w_throughput,0.5,20,alpha_fair,100.0,100.0,100.0,0.764,-1.697575,13.72,3.71,5.4e-05,SIMULATION
sensitivity_42_20_alpha_fair_w_throughput_0.5_45,2026-09-01T11:49:21.177898,45,w_throughput,0.5,20,alpha_fair,100.0,100.0,100.0,0.7559,-1.703652,11.81,3.44,5.3e-05,SIMULATION
